iter	Passed	Remaining
0	145	144936
1	147	73631
2	149	49808
3	154	38506
4	156	31210
5	158	26325
6	161	22839
7	163	20228
8	165	18213
9	169	16797
10	172	15481
11	173	14306
12	175	13358
13	178	12538
14	183	12050
15	187	11551
16	190	11012
17	192	10517
18	195	10071
19	198	9749
20	202	9418
21	204	9096
22	206	8792
23	209	8520
24	215	8399
25	220	8261
26	222	8029
27	225	7814
28	227	7627
29	233	7563
30	236	7407
31	239	7239
32	243	7126
33	247	7029
34	250	6899
35	252	6774
36	256	6684
37	261	6608
38	263	6499
39	266	6389
40	268	6289
41	273	6235
42	276	6160
43	279	6073
44	282	5985
45	285	5919
46	288	5843
47	292	5793
48	296	5745
49	299	5683
50	303	5652
51	307	5597
52	309	5530
53	312	5476
54	317	5460
55	320	5409
56	323	5351
57	326	5301
58	329	5261
59	335	5250
60	337	5195
61	341	5161
62	343	5115
63	348	5092
64	351	5049
65	353	5006
66	356	4958
67	360	4944
68	378	5102
69	382	5077
70	385	5043
71	388	5007
72	391	4968
73	393	4930
74	396	4889
75	399	4851
76	401	4815
77	404	4780
78	407	4745
79	412	4747
80	415	4715
81	417	4672
82	424	4684
83	427	4658
84	429	4618
85	431	4587
86	435	4575
87	439	4559
88	442	4530
89	445	4503
90	447	4472
91	452	4465
92	455	4439
93	457	4408
94	460	4382
95	463	4363
96	467	4352
97	470	4328
98	473	4305
99	475	4281
100	478	4259
101	482	4245
102	484	4220
103	487	4196
104	489	4172
105	492	4150
106	496	4139
107	500	4131
108	502	4111
109	506	4097
110	511	4095
111	513	4075
112	516	4054
113	519	4035
114	522	4020
115	525	4006
116	528	3985
117	530	3966
118	533	3948
119	536	3931
120	539	3920
121	542	3905
122	545	3890
123	548	3873
124	551	3859
125	553	3842
126	556	3824
127	558	3807
128	562	3794
129	565	3781
130	569	3778
131	572	3766
132	575	3753
133	578	3739
134	581	3726
135	584	3716
136	588	3706
137	606	3786
138	608	3771
139	614	3774
140	617	3763
141	620	3750
142	623	3739
143	631	3754
144	635	3749
145	639	3742
146	645	3746
147	649	3736
148	652	3726
149	655	3714
150	658	3700
151	660	3687
152	663	3674
153	667	3664
154	670	3655
155	673	3644
156	676	3631
157	678	3617
158	681	3603
159	683	3589
160	686	3578
161	689	3566
162	692	3555
163	695	3544
164	698	3532
165	700	3521
166	703	3510
167	706	3498
168	709	3487
169	711	3476
170	715	3468
171	720	3466
172	723	3456
173	726	3448
174	728	3436
175	731	3424
176	734	3415
177	736	3403
178	740	3394
179	742	3384
180	746	3376
181	748	3366
182	751	3355
183	754	3345
184	756	3333
185	759	3324
186	762	3316
187	767	3315
188	770	3307
189	773	3299
190	778	3295
191	782	3293
192	786	3289
193	791	3289
194	802	3311
195	804	3302
196	807	3291
197	813	3294
198	816	3285
199	818	3275
200	821	3266
201	827	3268
202	831	3263
203	834	3256
204	836	3245
205	841	3243
206	846	3241
207	848	3231
208	851	3222
209	858	3229
210	861	3222
211	865	3216
212	868	3210
213	875	3214
214	878	3208
215	882	3202
216	887	3200
217	890	3195
218	893	3186
219	896	3177
220	900	3174
221	904	3170
222	907	3161
223	910	3152
224	912	3144
225	934	3200
226	936	3190
227	939	3180
228	941	3170
229	943	3160
230	949	3160
231	952	3153
232	955	3146
233	959	3139
234	963	3136
235	968	3133
236	973	3133
237	982	3145
238	986	3142
239	989	3133
240	995	3135
241	998	3127
242	1000	3118
243	1003	3108
244	1005	3099
245	1011	3099
246	1013	3090
247	1016	3082
248	1018	3072
249	1021	3063
250	1025	3060
251	1028	3051
252	1030	3042
253	1032	3033
254	1035	3024
255	1039	3020
256	1041	3011
257	1044	3004
258	1048	2999
259	1050	2990
260	1056	2990
261	1058	2982
262	1062	2977
263	1066	2972
264	1074	2979
265	1078	2975
266	1081	2967
267	1086	2968
268	1089	2961
269	1092	2954
270	1095	2947
271	1100	2944
272	1103	2939
273	1106	2932
274	1109	2925
275	1114	2922
276	1117	2917
277	1120	2909
278	1123	2903
279	1126	2896
280	1132	2898
281	1136	2892
282	1138	2885
283	1141	2877
284	1148	2881
285	1151	2875
286	1154	2867
287	1156	2860
288	1160	2854
289	1163	2847
290	1165	2840
291	1168	2832
292	1171	2826
293	1178	2830
294	1181	2824
295	1186	2822
296	1189	2815
297	1195	2816
298	1197	2808
299	1200	2801
300	1203	2794
301	1207	2789
302	1210	2785
303	1213	2778
304	1216	2771
305	1219	2764
306	1224	2764
307	1227	2757
308	1230	2750
309	1233	2744
310	1237	2741
311	1240	2736
312	1243	2730
313	1246	2722
314	1248	2715
315	1253	2713
316	1257	2709
317	1260	2703
318	1263	2696
319	1267	2692
320	1269	2685
321	1272	2679
322	1275	2672
323	1277	2666
324	1280	2659
325	1283	2653
326	1286	2646
327	1288	2640
328	1291	2633
329	1294	2628
330	1297	2622
331	1300	2615
332	1303	2611
333	1306	2604
334	1308	2597
335	1311	2592
336	1314	2585
337	1317	2579
338	1319	2573
339	1322	2567
340	1325	2561
341	1327	2554
342	1330	2548
343	1332	2541
344	1335	2535
345	1338	2530
346	1341	2525
347	1344	2519
348	1347	2514
349	1351	2509
350	1358	2511
351	1363	2510
352	1367	2505
353	1370	2500
354	1373	2494
355	1375	2488
356	1377	2481
357	1380	2475
358	1382	2469
359	1385	2462
360	1388	2458
361	1390	2450
362	1394	2446
363	1397	2441
364	1400	2435
365	1403	2432
366	1407	2426
367	1410	2423
368	1413	2417
369	1416	2412
370	1422	2410
371	1425	2406
372	1429	2402
373	1433	2399
374	1436	2394
375	1439	2388
376	1442	2383
377	1445	2378
378	1448	2373
379	1451	2367
380	1453	2362
381	1456	2356
382	1460	2352
383	1463	2347
384	1466	2343
385	1469	2337
386	1472	2333
387	1475	2327
388	1478	2322
389	1481	2317
390	1484	2312
391	1488	2309
392	1494	2308
393	1499	2305
394	1501	2300
395	1504	2295
396	1507	2289
397	1509	2283
398	1512	2278
399	1516	2274
400	1519	2269
401	1522	2265
402	1527	2262
403	1530	2258
404	1535	2256
405	1540	2253
406	1543	2249
407	1546	2244
408	1549	2239
409	1552	2234
410	1555	2229
411	1564	2232
412	1572	2234
413	1575	2230
414	1580	2228
415	1589	2231
416	1625	2273
417	1630	2269
418	1637	2271
419	1641	2266
420	1645	2262
421	1648	2257
422	1663	2268
423	1672	2272
424	1677	2269
425	1679	2263
426	1683	2258
427	1687	2255
428	1692	2252
429	1696	2248
430	1700	2244
431	1705	2242
432	1709	2237
433	1713	2234
434	1718	2231
435	1722	2227
436	1728	2227
437	1734	2226
438	1739	2222
439	1746	2222
440	1750	2218
441	1760	2222
442	1764	2219
443	1768	2214
444	1780	2220
445	1784	2216
446	1789	2213
447	1794	2210
448	1798	2207
449	1803	2203
450	1808	2201
451	1814	2199
452	1824	2203
453	1828	2198
454	1835	2198
455	1839	2194
456	1848	2196
457	1854	2194
458	1858	2190
459	1864	2189
460	1871	2188
461	1874	2183
462	1886	2188
463	1893	2187
464	1896	2182
465	1901	2178
466	1912	2183
467	1916	2178
468	1926	2181
469	1930	2177
470	1934	2172
471	1940	2170
472	1944	2166
473	1952	2166
474	1960	2166
475	1964	2162
476	1970	2160
477	1975	2156
478	1979	2153
479	1987	2153
480	1990	2147
481	1993	2142
482	1996	2137
483	2004	2136
484	2007	2132
485	2018	2134
486	2022	2130
487	2026	2126
488	2034	2126
489	2037	2120
490	2041	2116
491	2047	2113
492	2050	2108
493	2053	2103
494	2056	2098
495	2061	2095
496	2065	2090
497	2068	2085
498	2073	2081
499	2082	2082
500	2087	2079
501	2097	2080
502	2101	2076
503	2107	2074
504	2114	2072
505	2119	2069
506	2164	2104
507	2177	2109
508	2182	2105
509	2184	2098
510	2189	2095
511	2193	2091
512	2196	2085
513	2201	2081
514	2206	2077
515	2211	2074
516	2222	2076
517	2227	2073
518	2231	2067
519	2242	2070
520	2247	2066
521	2253	2063
522	2264	2065
523	2270	2062
524	2273	2056
525	2276	2051
526	2279	2045
527	2288	2046
528	2292	2041
529	2301	2041
530	2309	2039
531	2319	2040
532	2333	2044
533	2336	2038
534	2339	2033
535	2344	2029
536	2350	2026
537	2356	2023
538	2364	2022
539	2371	2019
540	2378	2017
541	2381	2012
542	2386	2008
543	2391	2004
544	2396	2000
545	2399	1995
546	2403	1990
547	2418	1994
548	2423	1990
549	2432	1990
550	2438	1987
551	2446	1985
552	2455	1985
553	2463	1983
554	2468	1979
555	2474	1975
556	2478	1970
557	2482	1966
558	2488	1963
559	2491	1957
560	2495	1953
561	2504	1952
562	2508	1946
563	2513	1943
564	2525	1944
565	2535	1944
566	2550	1947
567	2554	1942
568	2559	1938
569	2566	1935
570	2571	1932
571	2580	1931
572	2586	1927
573	2591	1923
574	2600	1921
575	2604	1916
576	2608	1912
577	2615	1909
578	2620	1905
579	2626	1901
580	2630	1897
581	2634	1892
582	2638	1886
583	2641	1881
584	2646	1877
585	2650	1872
586	2656	1869
587	2663	1866
588	2667	1861
589	2671	1856
590	2675	1851
591	2679	1846
592	2683	1842
593	2687	1837
594	2691	1832
595	2695	1827
596	2699	1822
597	2703	1817
598	2708	1812
599	2711	1807
600	2715	1802
601	2718	1797
602	2722	1792
603	2726	1787
604	2730	1782
605	2734	1777
606	2737	1772
607	2741	1767
608	2746	1763
609	2751	1759
610	2756	1755
611	2766	1753
612	2770	1749
613	2774	1744
614	2778	1739
615	2782	1734
616	2786	1729
617	2791	1725
618	2795	1720
619	2798	1715
620	2802	1710
621	2806	1705
622	2810	1700
623	2813	1695
624	2817	1690
625	2821	1685
626	2825	1680
627	2829	1675
628	2833	1671
629	2837	1666
630	2841	1661
631	2844	1656
632	2849	1651
633	2853	1647
634	2857	1642
635	2867	1640
636	2870	1635
637	2874	1630
638	2878	1626
639	2884	1622
640	2888	1617
641	2892	1612
642	2898	1609
643	2902	1604
644	2908	1600
645	2913	1596
646	2920	1593
647	2927	1590
648	2933	1586
649	2936	1581
650	2939	1576
651	2945	1572
652	2949	1567
653	2953	1562
654	2957	1557
655	2960	1552
656	2962	1546
657	2965	1541
658	2968	1536
659	2973	1531
660	2976	1526
661	2980	1521
662	2983	1516
663	2988	1512
664	2991	1507
665	2994	1501
666	3011	1503
667	3020	1501
668	3042	1505
669	3046	1500
670	3057	1499
671	3062	1495
672	3071	1492
673	3075	1487
674	3078	1482
675	3085	1478
676	3094	1476
677	3099	1471
678	3103	1467
679	3107	1462
680	3113	1458
681	3116	1452
682	3118	1447
683	3123	1442
684	3132	1440
685	3135	1435
686	3138	1430
687	3143	1425
688	3146	1420
689	3149	1414
690	3151	1409
691	3157	1405
692	3160	1400
693	3163	1394
694	3166	1389
695	3172	1385
696	3175	1380
697	3178	1375
698	3180	1369
699	3183	1364
700	3188	1360
701	3191	1354
702	3194	1349
703	3197	1344
704	3202	1340
705	3205	1335
706	3208	1329
707	3211	1324
708	3213	1319
709	3217	1314
710	3220	1308
711	3222	1303
712	3225	1298
713	3227	1292
714	3230	1287
715	3232	1282
716	3235	1277
717	3238	1272
718	3241	1266
719	3243	1261
720	3246	1256
721	3249	1251
722	3251	1245
723	3254	1240
724	3257	1235
725	3259	1230
726	3263	1225
727	3267	1220
728	3269	1215
729	3271	1210
730	3274	1204
731	3276	1199
732	3279	1194
733	3281	1189
734	3284	1184
735	3286	1178
736	3290	1174
737	3292	1168
738	3295	1163
739	3297	1158
740	3300	1153
741	3302	1148
742	3306	1143
743	3309	1138
744	3313	1134
745	3315	1128
746	3319	1124
747	3322	1119
748	3326	1114
749	3329	1109
750	3332	1104
751	3334	1099
752	3337	1094
753	3340	1089
754	3343	1084
755	3346	1079
756	3348	1074
757	3351	1070
758	3354	1065
759	3357	1060
760	3360	1055
761	3362	1050
762	3365	1045
763	3367	1040
764	3370	1035
765	3373	1030
766	3375	1025
767	3378	1020
768	3381	1015
769	3384	1010
770	3387	1006
771	3390	1001
772	3392	996
773	3395	991
774	3399	986
775	3402	982
776	3404	977
777	3407	972
778	3410	967
779	3413	962
780	3416	958
781	3419	953
782	3422	948
783	3425	943
784	3428	938
785	3430	934
786	3433	929
787	3436	924
788	3439	919
789	3442	915
790	3445	910
791	3448	905
792	3450	900
793	3453	896
794	3456	891
795	3459	886
796	3461	881
797	3464	876
798	3467	872
799	3470	867
800	3474	863
801	3477	858
802	3481	854
803	3484	849
804	3488	845
805	3498	842
806	3505	838
807	3509	833
808	3512	829
809	3515	824
810	3518	820
811	3523	815
812	3526	811
813	3529	806
814	3533	802
815	3536	797
816	3539	792
817	3542	788
818	3545	783
819	3548	778
820	3551	774
821	3556	770
822	3561	766
823	3566	761
824	3573	757
825	3577	753
826	3587	750
827	3590	745
828	3594	741
829	3598	737
830	3602	732
831	3604	727
832	3610	723
833	3613	719
834	3616	714
835	3619	710
836	3622	705
837	3625	700
838	3629	696
839	3632	691
840	3637	687
841	3646	684
842	3652	680
843	3659	676
844	3671	673
845	3674	668
846	3679	664
847	3683	660
848	3687	655
849	3696	652
850	3700	647
851	3702	643
852	3705	638
853	3709	634
854	3712	629
855	3716	625
856	3721	621
857	3729	617
858	3734	612
859	3738	608
860	3741	604
861	3750	600
862	3756	596
863	3759	591
864	3765	587
865	3773	583
866	3776	579
867	3779	574
868	3782	570
869	3785	565
870	3789	561
871	3796	557
872	3800	552
873	3806	548
874	3810	544
875	3816	540
876	3821	535
877	3829	532
878	3832	527
879	3835	523
880	3839	518
881	3844	514
882	3847	509
883	3851	505
884	3855	501
885	3859	496
886	3863	492
887	3868	487
888	3871	483
889	3875	479
890	3879	474
891	3884	470
892	3888	465
893	3891	461
894	3895	457
895	3899	452
896	3906	448
897	3911	444
898	3918	440
899	3925	436
900	3929	431
901	3933	427
902	3941	423
903	3945	418
904	3951	414
905	3958	410
906	3961	406
907	3964	401
908	3970	397
909	3974	393
910	3987	389
911	3991	385
912	3996	380
913	4002	376
914	4005	372
915	4009	367
916	4016	363
917	4021	359
918	4024	354
919	4031	350
920	4035	346
921	4039	341
922	4047	337
923	4050	333
924	4053	328
925	4058	324
926	4063	320
927	4067	315
928	4080	311
929	4096	308
930	4099	303
931	4102	299
932	4116	295
933	4120	291
934	4127	286
935	4133	282
936	4158	279
937	4162	275
938	4165	270
939	4168	266
940	4173	261
941	4176	257
942	4179	252
943	4182	248
944	4187	243
945	4191	239
946	4196	234
947	4206	230
948	4210	226
949	4214	221
950	4226	217
951	4230	213
952	4249	209
953	4254	205
954	4262	200
955	4271	196
956	4275	192
957	4279	187
958	4283	183
959	4286	178
960	4289	174
961	4292	169
962	4296	165
963	4301	160
964	4305	156
965	4308	151
966	4313	147
967	4317	142
968	4321	138
969	4324	133
970	4328	129
971	4331	124
972	4334	120
973	4338	115
974	4342	111
975	4346	106
976	4351	102
977	4355	97
978	4362	93
979	4365	89
980	4369	84
981	4379	80
982	4382	75
983	4385	71
984	4387	66
985	4390	62
986	4393	57
987	4396	53
988	4398	48
989	4401	44
990	4404	40
991	4410	35
992	4413	31
993	4417	26
994	4420	22
995	4423	17
996	4427	13
997	4430	8
998	4433	4
999	4436	0
